,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
206,2020/09/03,0.0,,80749.83103913187,1.291482476517558e-10,80749.83103916775
207,2020/09/04,0.0,,80749.8310391322,3.3105607144534593e-10,80749.83103916775
208,2020/09/05,0.0,,80749.83103913252,3.255991032347083e-10,80749.83103916775
209,2020/09/06,0.0,,80749.83103913255,2.910383045673371e-11,80749.83103916775
210,2020/09/07,0.0,,80749.83103913222,-3.437889972701669e-10,80749.83103916775
211,2020/09/08,0.0,,80749.83103913156,-6.439222488552332e-10,80749.83103916775
212,2020/09/09,0.0,,80749.8310391311,-4.69299266114831e-10,80749.83103916775
213,2020/09/10,0.0,,80749.83103913155,4.5292836148291826e-10,80749.83103916775
214,2020/09/11,0.0,,80749.8310391331,1.546140993013978e-09,80749.83103916775
215,2020/09/12,0.0,,80749.83103913542,2.3155735107138753e-09,80749.83103916775
216,2020/09/13,0.0,,80749.83103913761,2.193701220676303e-09,80749.83103916775
217,2020/09/14,0.0,,80749.83103913846,8.585629984736443e-10,80749.83103916775
218,2020/09/15,0.0,,80749.8310391361,-2.35741026699543e-09,80749.83103916775
219,2020/09/16,0.0,,80749.83103913031,-5.791662260890007e-09,80749.83103916775
220,2020/09/17,0.0,,80749.83103912366,-6.664777174592018e-09,80749.83103916775
221,2020/09/18,0.0,,80749.8310391206,-3.041350282728672e-09,80749.83103916775
222,2020/09/19,0.0,,80749.83103912324,2.6338966563344e-09,80749.83103916775
223,2020/09/20,0.0,,80749.83103913422,1.0979420039802791e-08,80749.83103916775
224,2020/09/21,0.0,,80749.83103915217,1.7949787434190512e-08,80749.83103916775
225,2020/09/22,0.0,,80749.83103916749,1.5315890777856108e-08,80749.83103916775
226,2020/09/23,0.0,,50011.338331112805,-4.365574568510056e-09,50011.33833111717
227,2020/09/24,0.0,,50011.33833110151,-1.1292286217212675e-08,50011.33833111717
228,2020/09/25,0.0,,50011.33833109381,-7.697963155806065e-09,50011.33833111717
229,2020/09/26,0.0,,50011.33833108941,-4.394678398966789e-09,50011.33833111717
230,2020/09/27,0.0,,50011.33833108676,-2.6557245291769505e-09,50011.33833111717
231,2020/09/28,0.0,,50011.33833108525,-1.5061232261359692e-09,50011.33833111717
232,2020/09/29,0.0,,50011.33833108525,0.0,50011.33833111717
233,2020/09/30,0.0,,50011.33833108525,0.0,50011.33833111717
234,2020/10/01,0.0,,50011.33833108525,0.0,50011.33833111717
235,2020/10/02,0.0,,50011.33833108525,0.0,50011.33833111717
236,2020/10/03,0.0,,50011.33833108525,0.0,50011.33833111717
237,2020/10/04,0.0,,50011.33833108525,0.0,50011.33833111717
238,2020/10/05,0.0,,50011.33833108525,0.0,50011.33833111717
239,2020/10/06,0.0,,50011.33833108525,0.0,50011.33833111717
